time,plant_power_reference
0.0,1374.7
3600.0,1366.1
7199.0,1366.1
7200.0,1376.4
10799.0,1376.4
10800.0,1390.9
14399.0,1390.9
14400.0,1401.2
17999.0,1401.2
18000.0,1401.2
21599.0,1401.2
21600.0,1401.2
25199.0,1401.2
25200.0,1401.2
28799.0,1401.2
28800.0,1401.2
32399.0,1401.2
32400.0,1401.2
35999.0,1401.2
36000.0,1401.2
39599.0,1401.2
39600.0,1401.2
43199.0,1401.2
43200.0,1406.9
46799.0,1406.9
46800.0,1476.5
50399.0,1476.5
50400.0,1437.8
53999.0,1437.8
54000.0,1425.9
57599.0,1425.9
57600.0,1426.8
61199.0,1426.8
61200.0,1420.9
64799.0,1420.9
64800.0,1420.9
68399.0,1420.9
68400.0,1420.9
17999.0,1420.9
72000.0,1420.9
75599.0,1420.9
75600.0,1532.5
79199.0,1532.5
79200.0,1562.5
82799.0,1562.5
82800.0,1508.2
84599.0,1508.2